学生ID,学期ID,班级ID,班主任ID
15895,1,931,57
15896,1,931,57
15997,1,943,57
16004,1,943,57
16005,1,943,57
16006,1,943,57
16007,1,943,57
16008,1,943,57
16009,1,943,57
16011,1,943,57
16014,1,943,57
16015,1,943,57
16016,1,943,57
16017,1,943,57
16018,1,943,57
16020,1,943,57
16021,1,943,57
16022,1,943,57
16023,1,943,57
16024,1,943,57
16025,1,943,57
16026,1,943,57
16027,1,943,57
15965,1,943,57
15975,1,943,57
15979,1,943,57
16037,1,931,57
16043,1,931,57
16044,1,931,57
16047,1,931,57
16057,1,931,57
16058,1,931,57
16064,1,931,57
16069,1,931,57
16073,1,931,57
16159,1,943,57
16150,1,931,57
14564,1,945,58
14577,1,945,58
14716,1,945,58
13971,1,919,58
14007,1,919,58
14009,1,920,58
14011,1,919,58
14013,1,919,58
14014,1,919,58
14018,1,920,58
14027,1,920,58
14067,1,919,58
14032,1,920,58
14043,1,919,58
14044,1,919,58
14046,1,920,58
14051,1,919,58
14060,1,920,58
14061,1,919,58
14071,1,920,58
14072,1,920,58
14079,1,919,58
14090,1,919,58
14109,1,920,58
14116,1,920,58
14120,1,920,58
14124,1,920,58
14125,1,919,58
14129,1,920,58
14132,1,919,58
14135,1,919,58
14136,1,919,58
14139,1,919,58
14144,1,919,58
14151,1,920,58
14153,1,919,58
14164,1,920,58
14170,1,920,58
14171,1,920,58
14175,1,920,58
14177,1,919,58
14178,1,919,58
14184,1,919,58
14190,1,920,58
14193,1,920,58
14195,1,920,58
14196,1,920,58
14200,1,919,58
14203,1,920,58
14204,1,920,58
14206,1,919,58
14211,1,919,58
14214,1,920,58
14216,1,920,58
14219,1,920,58
14222,1,919,58
14241,1,920,58
14245,1,919,58
14251,1,919,58
14253,1,919,58
14258,1,919,58
14269,1,920,58
14273,1,920,58
14274,1,920,58
14275,1,920,58
14277,1,920,58
14281,1,919,58
14282,1,920,58
14284,1,920,58
14291,1,919,58
15516,1,937,58
14297,1,919,58
14304,1,920,58
14308,1,920,58
14311,1,920,58
14313,1,919,58
14324,1,919,58
14326,1,919,58
14330,1,920,58
14334,1,920,58
14342,1,919,58
14347,1,919,58
14348,1,919,58
14353,1,920,58
14355,1,920,58
14360,1,920,58
14361,1,919,58
14362,1,919,58
14373,1,919,58
14376,1,920,58
14377,1,920,58
15517,1,936,58
16092,1,936,58
15485,1,936,58
15486,1,937,58
15488,1,937,58
15492,1,936,58
15498,1,936,58
15500,1,936,58
15520,1,936,58
15526,1,937,58
15537,1,937,58
15538,1,937,58
15482,1,936,58
15570,1,937,58
15578,1,936,58
15582,1,936,58
15584,1,936,58
15585,1,936,58
15587,1,937,58
15590,1,936,58
15591,1,937,58
15592,1,936,58
15593,1,937,58
15596,1,937,58
15607,1,937,58
15617,1,937,58
15619,1,937,58
15622,1,937,58
15624,1,936,58
15629,1,937,58
15637,1,936,58
15638,1,936,58
15642,1,936,58
15502,1,937,58
15518,1,936,58
15521,1,936,58
15527,1,937,58
15530,1,937,58
15549,1,936,58
15552,1,936,58
15560,1,937,58
15562,1,937,58
15457,1,936,58
15464,1,936,58
15465,1,937,58
15469,1,937,58
15477,1,936,58
15478,1,936,58
16084,1,936,58
16088,1,937,58
16093,1,937,58
16095,1,936,58
16097,1,936,58
16098,1,936,58
16099,1,937,58
16101,1,936,58
16102,1,937,58
16103,1,937,58
16107,1,936,58
16108,1,936,58
16110,1,936,58
16113,1,937,58
16114,1,937,58
16115,1,937,58
16118,1,937,58
16119,1,936,58
16120,1,937,58
16121,1,936,58
16122,1,936,58
16123,1,937,58
16124,1,937,58
16125,1,936,58
16130,1,937,58
16131,1,937,58
16132,1,936,58
16133,1,936,58
16134,1,937,58
16138,1,937,58
16139,1,937,58
16141,1,937,58
16142,1,936,58
16144,1,936,58
16146,1,937,58
16154,1,936,58
16156,1,936,58
16151,1,936,58
16152,1,937,58
